iter	Accuracy	MultiClass
0	0.2550091075	2.162860248
1	0.2950819672	2.096101465
2	0.325136612	2.04469519
3	0.3561020036	1.960957697
4	0.3779599271	1.915823949
5	0.3916211293	1.858165593
6	0.4134790528	1.826186518
7	0.4326047359	1.799325708
8	0.4298724954	1.78083926
9	0.4316939891	1.748207861
10	0.4635701275	1.690899306
11	0.4826958106	1.649754601
12	0.5173041894	1.606024346
13	0.5163934426	1.589716051
14	0.5409836066	1.556211964
15	0.5382513661	1.526342282
16	0.558287796	1.48421607
17	0.5601092896	1.464315706
18	0.5692167577	1.441189353
19	0.5792349727	1.416531296
20	0.5910746812	1.388093491
21	0.5974499089	1.362471088
22	0.6111111111	1.317483759
23	0.6174863388	1.300543064
24	0.6329690346	1.283799466
25	0.6366120219	1.266435148
26	0.64571949	1.246530962
27	0.6575591985	1.230015884
28	0.6675774135	1.206379086
29	0.679417122	1.190134286
30	0.6930783242	1.159138161
31	0.6994535519	1.140105057
32	0.7249544627	1.104158341
33	0.7413479053	1.071673446
34	0.747723133	1.045939653
35	0.7513661202	1.035168058
36	0.7604735883	1.021383029
37	0.7759562842	0.9998700402
38	0.7823315118	0.9830093971
39	0.7841530055	0.975448343
40	0.79143898	0.9643667836
41	0.795992714	0.9528815335
42	0.8023679417	0.9383182003
43	0.8041894353	0.9281451812
44	0.8142076503	0.9125670193
45	0.8169398907	0.8914909641
46	0.820582878	0.8770360974
47	0.8269581056	0.8681327927
48	0.8342440801	0.8575089998
49	0.8369763206	0.8411991831
50	0.8460837887	0.8326300195
51	0.8442622951	0.8217127698
52	0.8460837887	0.8167211933
53	0.8488160291	0.8091445016
54	0.8597449909	0.793712542
55	0.868852459	0.7827714093
56	0.8679417122	0.7754227942
57	0.8706739526	0.7706524935
58	0.8697632058	0.7627108413
59	0.8770491803	0.7548489184
60	0.8770491803	0.7487779274
61	0.8770491803	0.7445632254
62	0.8852459016	0.7316582977
63	0.893442623	0.7161815372
64	0.8952641166	0.7031916213
65	0.8970856102	0.6946524258
66	0.8961748634	0.6886151617
67	0.897996357	0.6819940382
68	0.9025500911	0.6773207688
69	0.9043715847	0.6646263102
70	0.9080145719	0.6614887648
71	0.912568306	0.6550779872
72	0.9134790528	0.6476631924
73	0.9143897996	0.6394641788
74	0.9162112933	0.6363094991
75	0.9162112933	0.6358323514
76	0.9171220401	0.6284294253
77	0.9225865209	0.6207241112
78	0.9253187614	0.6057846164
79	0.927140255	0.5997635408
80	0.9316939891	0.5968031351
81	0.9353369763	0.590887133
82	0.9362477231	0.5894871362
83	0.9408014572	0.5798520457
84	0.9435336976	0.5733822471
85	0.9480874317	0.5681276176
86	0.9471766849	0.5642901569
87	0.9526411658	0.5547611057
88	0.9544626594	0.553318281
89	0.9553734062	0.5470034375
90	0.9544626594	0.5412419698
91	0.9544626594	0.5343265536
92	0.9581056466	0.5275023715
93	0.9617486339	0.5191162197
94	0.9663023679	0.5088532181
95	0.9663023679	0.5081245136
96	0.9690346084	0.5018116129
97	0.9699453552	0.4977564151
98	0.970856102	0.4944630303
99	0.9699453552	0.4887575582
100	0.9735883424	0.4789168265
101	0.9754098361	0.4731201403
102	0.9754098361	0.4684163074
103	0.9781420765	0.465714037
104	0.9790528233	0.4614072216
105	0.9781420765	0.4565868985
106	0.9781420765	0.4559463857
107	0.9790528233	0.4445425249
108	0.9799635701	0.4396292452
109	0.9808743169	0.4341767492
110	0.9826958106	0.4293188167
111	0.9836065574	0.4249034973
112	0.9836065574	0.4230634833
113	0.9836065574	0.4160114895
114	0.9845173042	0.4132430963
115	0.9863387978	0.4086115284
116	0.9863387978	0.4074175549
117	0.9863387978	0.4004195088
118	0.9863387978	0.3970883118
119	0.9863387978	0.3925341019
120	0.9863387978	0.3911840157
121	0.9872495446	0.3860724075
122	0.9890710383	0.3821723153
123	0.9899817851	0.3796682414
124	0.9908925319	0.3765313202
125	0.9918032787	0.3724283506
126	0.9936247723	0.3673546392
127	0.9936247723	0.3661442042
128	0.9936247723	0.3652903851
129	0.9927140255	0.3597223366
130	0.9927140255	0.3580546471
131	0.9927140255	0.3569444039
132	0.9936247723	0.3558126589
133	0.9927140255	0.3526385333
134	0.9927140255	0.3504412621
135	0.9936247723	0.3477191442
136	0.9936247723	0.3472593685
137	0.9936247723	0.3461635984
138	0.9945355191	0.3390529093
139	0.9945355191	0.3383094684
140	0.9945355191	0.3351405669
141	0.9936247723	0.3333028961
142	0.9936247723	0.3297967623
143	0.9936247723	0.3273317336
144	0.9936247723	0.325057515
145	0.9945355191	0.3172545417
146	0.9945355191	0.3139509583
147	0.9945355191	0.3114863306
148	0.9945355191	0.3112215357
149	0.9963570128	0.3090432693
150	0.9963570128	0.3075844835
151	0.9963570128	0.3047705181
152	0.9963570128	0.3021534632
153	0.9963570128	0.297457535
154	0.9972677596	0.2962796721
155	0.9972677596	0.2938842695
156	0.9972677596	0.2924924163
157	0.9963570128	0.2894338231
158	0.9963570128	0.2865367902
159	0.9972677596	0.284981388
160	0.9981785064	0.2813071761
161	0.9981785064	0.2807570079
162	0.9972677596	0.2797471433
163	0.9981785064	0.2768417713
164	0.9990892532	0.2734690981
165	0.9990892532	0.2714661427
