iter	Passed	Remaining
0	1542	1540887
1	2368	1181917
2	2735	909059
3	3102	772605
4	3527	701903
5	3945	653648
6	4349	617056
7	4815	597170
8	5248	577920
9	5630	557403
10	5987	538361
11	6351	522939
12	6710	509477
13	7072	498090
14	7428	487827
15	7784	478773
16	8140	470715
17	8485	462944
18	8837	456314
19	9188	450215
20	9594	447299
21	10066	447521
22	10486	445467
23	10857	441527
24	11391	444255
25	11740	439823
26	12166	438454
27	12612	437839
28	13016	435834
29	13396	433158
30	13799	431338
31	14200	429555
32	14621	428460
33	15017	426682
34	15554	428866
35	16027	429170
36	16462	428459
37	16901	427873
38	17321	426824
39	17737	425701
40	18342	429036
41	18807	428982
42	19351	430672
43	19979	434103
44	20637	437973
45	21112	437849
46	21608	438141
47	22011	436555
48	22438	435487
49	22858	434303
50	23312	433804
51	23769	433334
52	24241	433152
53	24742	433450
54	25421	436785
55	26082	439684
56	26974	446261
57	27435	445594
58	28019	446894
59	28621	448399
60	29387	452370
61	29795	450781
62	30237	449728
63	30657	448367
64	31068	446912
65	31580	446915
66	31988	445455
67	32406	444161
68	32823	442875
69	33246	441698
70	33646	440253
71	34059	438985
72	34471	437745
73	34879	436465
74	35287	435207
75	35700	434040
76	36115	432911
77	36544	431979
78	36976	431078
79	37388	429969
80	37799	428866
81	38223	427916
82	38624	426733
83	39035	425674
84	39462	424799
85	39875	423792
86	40286	422777
87	40701	421811
88	41104	420738
89	41519	419804
90	41933	418878
91	42351	417995
92	42786	417288
93	43205	416431
94	43620	415544
95	44025	414568
96	44442	413723
97	44857	412875
98	45267	411976
99	45693	411245
100	46109	410416
101	46541	409743
102	46953	408903
103	47374	408150
104	47794	407390
105	48230	406772
106	48662	406129
107	49089	405443
108	49500	404631
109	49922	403914
110	50339	403170
111	50759	402452
112	51171	401675
113	51586	400928
114	52000	400179
115	52424	399512
116	52833	398736
117	53272	398187
118	53684	397448
119	54102	396752
120	54507	395966
121	54921	395253
122	55338	394566
123	55753	393874
124	56172	393207
125	56629	392810
126	57160	392920
127	57636	392646
128	58130	392491
129	58949	394508
130	59417	394154
131	59836	393469
132	60254	392789
133	60684	392186
134	61195	392102
135	61710	392045
136	62130	391378
137	62546	390686
138	63136	391083
139	63729	391483
140	64162	390890
141	64580	390210
142	65006	389586
143	65437	388989
144	65867	388392
145	66482	388878
146	66957	388534
147	67536	388790
148	68036	388581
149	68540	388395
150	68985	387869
151	69408	387224
152	69860	386743
153	70338	386405
154	70706	385464
155	71163	385011
156	71605	384480
157	71983	383606
158	72434	383129
159	72872	382583
160	73235	381644
161	73591	380678
162	73943	379695
163	74318	378841
164	74781	378437
165	75243	378029
166	75785	378019
167	76232	377533
168	76654	376922
169	77030	376091
170	77400	375234
171	77906	375038
172	78517	375339
173	79317	376532
174	79767	376046
175	80348	376177
176	80810	375747
177	81224	375094
178	81772	375057
179	82301	374929
180	82831	374800
181	83259	374210
182	83806	374152
183	84256	373657
184	84744	373334
185	85218	372947
186	85875	373349
187	86517	373683
188	87295	374586
189	88018	375235
190	88529	374974
191	89046	374738
192	89459	374059
193	89880	373421
194	90458	373430
195	90942	373049
196	91501	372974
197	92038	372803
198	92710	373169
199	93374	373496
200	94172	374346
201	94877	374811
202	95605	375356
203	96151	375178
204	96573	374514
205	97138	374406
206	97728	374391
